# Trace from filein = ./62270a01                                                                                                                   
#   time        NI0                                                                                                                          
   2.5605E+00   4.6640E+01
   2.5605E+00   4.6640E+01
   2.5605E+00   4.6640E+01
   2.5606E+00   4.6641E+01
   2.5607E+00   4.6642E+01
   2.5608E+00   4.6645E+01
   2.5610E+00   4.6650E+01
   2.5614E+00   4.6659E+01
   2.5621E+00   4.6673E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5633E+00   4.6698E+01
   2.5634E+00   4.6699E+01
   2.5635E+00   4.6701E+01
   2.5636E+00   4.6706E+01
   2.5636E+00   4.6706E+01
   2.5636E+00   4.6706E+01
   2.5636E+00   4.6706E+01
   2.5636E+00   4.6706E+01
   2.5636E+00   4.6706E+01
   2.5637E+00   4.6706E+01
   2.5637E+00   4.6706E+01
   2.5637E+00   4.6706E+01
   2.5638E+00   4.6706E+01
   2.5638E+00   4.6706E+01
   2.5639E+00   4.6707E+01
   2.5640E+00   4.6708E+01
   2.5643E+00   4.6709E+01
   2.5646E+00   4.6710E+01
   2.5652E+00   4.6712E+01
   2.5663E+00   4.6714E+01
   2.5675E+00   4.6716E+01
   2.5677E+00   4.6716E+01
   2.5680E+00   4.6717E+01
   2.5686E+00   4.6718E+01
   2.5690E+00   4.6718E+01
   2.5695E+00   4.6718E+01
   2.5704E+00   4.6718E+01
   2.5719E+00   4.6718E+01
   2.5744E+00   4.6715E+01
   2.5788E+00   4.6707E+01
   2.5837E+00   4.6756E+01
   2.5838E+00   4.6756E+01
   2.5839E+00   4.6756E+01
   2.5839E+00   4.6756E+01
   2.5839E+00   4.6755E+01
   2.5840E+00   4.6755E+01
   2.5840E+00   4.6755E+01
   2.5840E+00   4.6755E+01
   2.5840E+00   4.6754E+01
   2.5840E+00   4.6754E+01
   2.5840E+00   4.6754E+01
   2.5840E+00   4.6754E+01
   2.5841E+00   4.6754E+01
   2.5842E+00   4.6753E+01
   2.5843E+00   4.6753E+01
   2.5844E+00   4.6754E+01
   2.5847E+00   4.6755E+01
   2.5849E+00   4.6757E+01
   2.5851E+00   4.6758E+01
   2.5853E+00   4.6761E+01
   2.5857E+00   4.6763E+01
   2.5859E+00   4.6764E+01
   2.5861E+00   4.6766E+01
   2.5865E+00   4.6768E+01
   2.5869E+00   4.6771E+01
   2.5869E+00   4.6771E+01
   2.5869E+00   4.6772E+01
   2.5869E+00   4.6772E+01
   2.5869E+00   4.6772E+01
   2.5869E+00   4.6772E+01
   2.5869E+00   4.6772E+01
   2.5869E+00   4.6772E+01
   2.5869E+00   4.6772E+01
   2.5869E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5870E+00   4.6772E+01
   2.5871E+00   4.6773E+01
   2.5872E+00   4.6774E+01
   2.5873E+00   4.6775E+01
   2.5874E+00   4.6777E+01
   2.5876E+00   4.6786E+01
   2.5879E+00   4.6797E+01
   2.5884E+00   4.6815E+01
   2.5884E+00   4.6815E+01
   2.5885E+00   4.6815E+01
   2.5885E+00   4.6815E+01
   2.5885E+00   4.6815E+01
   2.5885E+00   4.6815E+01
   2.5885E+00   4.6815E+01
   2.5886E+00   4.6815E+01
   2.5886E+00   4.6815E+01
