# Trace from filein = ./62270a01                                                                                                                   
#   time        TI0                                                                                                                          
   2.5585E+00   1.6780E+00
   2.5586E+00   1.6781E+00
   2.5588E+00   1.6782E+00
   2.5590E+00   1.6783E+00
   2.5593E+00   1.6779E+00
   2.5599E+00   1.6774E+00
   2.5599E+00   1.6774E+00
   2.5600E+00   1.6773E+00
   2.5601E+00   1.6771E+00
   2.5602E+00   1.6770E+00
   2.5603E+00   1.6768E+00
   2.5605E+00   1.6767E+00
   2.5605E+00   1.6766E+00
   2.5605E+00   1.6766E+00
   2.5605E+00   1.6766E+00
   2.5605E+00   1.6766E+00
   2.5605E+00   1.6766E+00
   2.5606E+00   1.6766E+00
   2.5607E+00   1.6765E+00
   2.5608E+00   1.6763E+00
   2.5610E+00   1.6761E+00
   2.5614E+00   1.6760E+00
   2.5621E+00   1.6759E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5633E+00   1.6763E+00
   2.5634E+00   1.6764E+00
   2.5635E+00   1.6763E+00
   2.5636E+00   1.6763E+00
   2.5636E+00   1.6763E+00
   2.5636E+00   1.6763E+00
   2.5636E+00   1.6763E+00
   2.5636E+00   1.6763E+00
   2.5636E+00   1.6763E+00
   2.5637E+00   1.6763E+00
   2.5637E+00   1.6763E+00
   2.5637E+00   1.6763E+00
   2.5638E+00   1.6763E+00
   2.5638E+00   1.6763E+00
   2.5639E+00   1.6764E+00
   2.5640E+00   1.6764E+00
   2.5643E+00   1.6765E+00
   2.5646E+00   1.6767E+00
   2.5652E+00   1.6769E+00
   2.5663E+00   1.6772E+00
   2.5675E+00   1.6774E+00
   2.5677E+00   1.6774E+00
   2.5680E+00   1.6775E+00
   2.5686E+00   1.6776E+00
   2.5690E+00   1.6777E+00
   2.5695E+00   1.6778E+00
   2.5704E+00   1.6779E+00
   2.5719E+00   1.6778E+00
   2.5744E+00   1.6776E+00
   2.5788E+00   1.6775E+00
   2.5837E+00   1.6955E+00
   2.5838E+00   1.6958E+00
   2.5839E+00   1.6961E+00
   2.5839E+00   1.6961E+00
   2.5839E+00   1.6961E+00
   2.5840E+00   1.6962E+00
   2.5840E+00   1.6962E+00
   2.5840E+00   1.6962E+00
   2.5840E+00   1.6962E+00
   2.5840E+00   1.6962E+00
   2.5840E+00   1.6963E+00
   2.5840E+00   1.6963E+00
   2.5841E+00   1.6963E+00
   2.5842E+00   1.6965E+00
   2.5843E+00   1.6967E+00
   2.5844E+00   1.6973E+00
   2.5847E+00   1.6980E+00
   2.5849E+00   1.6988E+00
   2.5851E+00   1.6996E+00
   2.5853E+00   1.7006E+00
   2.5857E+00   1.7005E+00
   2.5859E+00   1.7005E+00
   2.5861E+00   1.7004E+00
   2.5865E+00   1.7000E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5869E+00   1.6996E+00
   2.5870E+00   1.6996E+00
   2.5870E+00   1.6996E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6995E+00
   2.5870E+00   1.6996E+00
   2.5870E+00   1.6996E+00
   2.5871E+00   1.6996E+00
   2.5872E+00   1.6996E+00
   2.5873E+00   1.6997E+00
   2.5874E+00   1.6998E+00
   2.5876E+00   1.6995E+00
   2.5879E+00   1.6992E+00
   2.5884E+00   1.6990E+00
   2.5884E+00   1.6990E+00
   2.5885E+00   1.6990E+00
   2.5885E+00   1.6990E+00
   2.5885E+00   1.6990E+00
   2.5885E+00   1.6990E+00
   2.5885E+00   1.6990E+00
   2.5886E+00   1.6990E+00
   2.5886E+00   1.6991E+00
   2.5886E+00   1.6991E+00
   2.5886E+00   1.6991E+00
   2.5886E+00   1.6991E+00
   2.5886E+00   1.6991E+00
   2.5887E+00   1.6991E+00
   2.5887E+00   1.6991E+00
   2.5888E+00   1.6991E+00
   2.5889E+00   1.6991E+00
   2.5890E+00   1.6990E+00
   2.5891E+00   1.6991E+00
   2.5892E+00   1.6992E+00
   2.5892E+00   1.6992E+00
   2.5893E+00   1.6993E+00
   2.5895E+00   1.6993E+00
   2.5898E+00   1.6989E+00
   2.5904E+00   1.6970E+00
   2.5913E+00   1.6917E+00
   2.5929E+00   1.6794E+00
   2.5957E+00   1.6561E+00
   2.6006E+00   1.6190E+00
   2.6077E+00   1.5759E+00
   2.6152E+00   1.5425E+00
   2.6227E+00   1.5184E+00
   2.6302E+00   1.5009E+00
   2.6377E+00   1.4879E+00
   2.6452E+00   1.4779E+00
   2.6527E+00   1.4695E+00
   2.6602E+00   1.4622E+00
   2.6677E+00   1.4564E+00
   2.6752E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4884E+00
   2.6753E+00   1.4884E+00
   2.6753E+00   1.4884E+00
   2.6753E+00   1.4885E+00
   2.6753E+00   1.4885E+00
   2.6753E+00   1.4886E+00
   2.6753E+00   1.4887E+00
   2.6753E+00   1.4886E+00
   2.6753E+00   1.4885E+00
   2.6753E+00   1.4885E+00
   2.6753E+00   1.4884E+00
   2.6753E+00   1.4883E+00
   2.6753E+00   1.4881E+00
   2.6753E+00   1.4879E+00
