# Trace from filein = ./62270a01                                                                                                                   
#   time        TE0                                                                                                                          
   2.5633E+00   1.9103E+00
   2.5633E+00   1.9103E+00
   2.5633E+00   1.9103E+00
   2.5633E+00   1.9103E+00
   2.5633E+00   1.9103E+00
   2.5633E+00   1.9103E+00
   2.5633E+00   1.9104E+00
   2.5633E+00   1.9104E+00
   2.5633E+00   1.9104E+00
   2.5634E+00   1.9103E+00
   2.5635E+00   1.9102E+00
   2.5636E+00   1.9101E+00
   2.5636E+00   1.9101E+00
   2.5636E+00   1.9101E+00
   2.5636E+00   1.9101E+00
   2.5636E+00   1.9101E+00
   2.5636E+00   1.9101E+00
   2.5637E+00   1.9101E+00
   2.5637E+00   1.9101E+00
   2.5637E+00   1.9101E+00
   2.5638E+00   1.9101E+00
   2.5638E+00   1.9101E+00
   2.5639E+00   1.9101E+00
   2.5640E+00   1.9101E+00
   2.5643E+00   1.9101E+00
   2.5646E+00   1.9102E+00
   2.5652E+00   1.9103E+00
   2.5663E+00   1.9105E+00
   2.5675E+00   1.9108E+00
   2.5677E+00   1.9108E+00
   2.5680E+00   1.9109E+00
   2.5686E+00   1.9110E+00
   2.5690E+00   1.9112E+00
   2.5695E+00   1.9113E+00
   2.5704E+00   1.9116E+00
   2.5719E+00   1.9120E+00
   2.5744E+00   1.9127E+00
   2.5788E+00   1.9139E+00
   2.5837E+00   1.9178E+00
   2.5838E+00   1.9179E+00
   2.5839E+00   1.9180E+00
   2.5839E+00   1.9180E+00
   2.5839E+00   1.9180E+00
   2.5840E+00   1.9180E+00
   2.5840E+00   1.9180E+00
   2.5840E+00   1.9180E+00
   2.5840E+00   1.9181E+00
   2.5840E+00   1.9181E+00
   2.5840E+00   1.9181E+00
   2.5840E+00   1.9181E+00
   2.5841E+00   1.9181E+00
   2.5842E+00   1.9182E+00
   2.5843E+00   1.9182E+00
   2.5844E+00   1.9183E+00
   2.5847E+00   1.9183E+00
   2.5849E+00   1.9184E+00
   2.5851E+00   1.9184E+00
   2.5853E+00   1.9184E+00
   2.5857E+00   1.9185E+00
   2.5859E+00   1.9185E+00
   2.5861E+00   1.9186E+00
   2.5865E+00   1.9186E+00
   2.5869E+00   1.9186E+00
   2.5869E+00   1.9186E+00
   2.5869E+00   1.9187E+00
   2.5869E+00   1.9187E+00
   2.5869E+00   1.9187E+00
   2.5869E+00   1.9187E+00
   2.5869E+00   1.9187E+00
   2.5869E+00   1.9187E+00
   2.5869E+00   1.9187E+00
   2.5869E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5870E+00   1.9187E+00
   2.5871E+00   1.9187E+00
   2.5872E+00   1.9187E+00
   2.5873E+00   1.9187E+00
   2.5874E+00   1.9187E+00
   2.5876E+00   1.9184E+00
   2.5879E+00   1.9180E+00
   2.5884E+00   1.9173E+00
   2.5884E+00   1.9173E+00
   2.5885E+00   1.9173E+00
   2.5885E+00   1.9173E+00
   2.5885E+00   1.9173E+00
   2.5885E+00   1.9173E+00
   2.5885E+00   1.9174E+00
   2.5886E+00   1.9174E+00
   2.5886E+00   1.9174E+00
   2.5886E+00   1.9174E+00
   2.5886E+00   1.9174E+00
   2.5886E+00   1.9174E+00
   2.5886E+00   1.9174E+00
   2.5887E+00   1.9174E+00
   2.5887E+00   1.9174E+00
   2.5888E+00   1.9174E+00
   2.5889E+00   1.9173E+00
   2.5890E+00   1.9172E+00
   2.5891E+00   1.9173E+00
   2.5892E+00   1.9173E+00
   2.5892E+00   1.9173E+00
   2.5893E+00   1.9173E+00
   2.5895E+00   1.9173E+00
   2.5898E+00   1.9169E+00
   2.5904E+00   1.9157E+00
   2.5913E+00   1.9119E+00
   2.5929E+00   1.9027E+00
   2.5957E+00   1.8839E+00
   2.6006E+00   1.8511E+00
   2.6077E+00   1.8105E+00
   2.6152E+00   1.7782E+00
   2.6227E+00   1.7541E+00
   2.6302E+00   1.7359E+00
   2.6377E+00   1.7214E+00
   2.6452E+00   1.7093E+00
   2.6527E+00   1.6984E+00
   2.6602E+00   1.6884E+00
   2.6677E+00   1.6797E+00
   2.6752E+00   1.7129E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
