# Trace from filein = ./62270a01                                                                                                                   
#   time        PRAD                                                                                                                         
   2.5426E+00  -1.3037E-01
   2.5501E+00  -1.3052E-01
   2.5576E+00  -1.3067E-01
   2.5578E+00  -1.3046E-01
   2.5578E+00  -1.3503E-01
   2.5578E+00  -1.8512E-01
   2.5578E+00  -2.2065E-01
   2.5578E+00  -2.2069E-01
   2.5578E+00  -2.2072E-01
   2.5578E+00  -2.2075E-01
   2.5578E+00  -2.2079E-01
   2.5578E+00  -2.2084E-01
   2.5578E+00  -2.2089E-01
   2.5578E+00  -2.2096E-01
   2.5578E+00  -2.2103E-01
   2.5578E+00  -2.1280E-01
   2.5578E+00  -1.8172E-01
   2.5578E+00  -1.5388E-01
   2.5578E+00  -1.3733E-01
   2.5578E+00  -1.2748E-01
   2.5579E+00  -1.2747E-01
   2.5579E+00  -1.2747E-01
   2.5579E+00  -1.2844E-01
   2.5579E+00  -1.2965E-01
   2.5579E+00  -1.3063E-01
   2.5579E+00  -1.3299E-01
   2.5580E+00  -1.3269E-01
   2.5580E+00  -1.3175E-01
   2.5580E+00  -1.3155E-01
   2.5580E+00  -1.3123E-01
   2.5580E+00  -1.2746E-01
   2.5580E+00  -1.2789E-01
   2.5580E+00  -1.2925E-01
   2.5580E+00  -1.3041E-01
   2.5581E+00  -1.3111E-01
   2.5581E+00  -1.3137E-01
   2.5582E+00  -1.3138E-01
   2.5583E+00  -1.3129E-01
   2.5584E+00  -1.3116E-01
   2.5585E+00  -1.3104E-01
   2.5586E+00  -1.3096E-01
   2.5588E+00  -1.3069E-01
   2.5590E+00  -1.3086E-01
   2.5593E+00  -1.3091E-01
   2.5599E+00  -1.3097E-01
   2.5599E+00  -1.3097E-01
   2.5600E+00  -1.3115E-01
   2.5601E+00  -1.3111E-01
   2.5602E+00  -1.3127E-01
   2.5603E+00  -1.3111E-01
   2.5605E+00  -1.3110E-01
   2.5605E+00  -1.3099E-01
   2.5605E+00  -1.2749E-01
   2.5605E+00  -1.2749E-01
   2.5605E+00  -1.2856E-01
   2.5605E+00  -1.2977E-01
   2.5606E+00  -1.3058E-01
   2.5607E+00  -1.3098E-01
   2.5608E+00  -1.3112E-01
   2.5610E+00  -1.3113E-01
   2.5614E+00  -1.3110E-01
   2.5621E+00  -1.3105E-01
   2.5633E+00  -1.3103E-01
   2.5633E+00  -1.3139E-01
   2.5633E+00  -1.2749E-01
   2.5633E+00  -1.2749E-01
   2.5633E+00  -1.2749E-01
   2.5633E+00  -1.2749E-01
   2.5633E+00  -1.2749E-01
   2.5633E+00  -1.2748E-01
   2.5633E+00  -1.2748E-01
   2.5633E+00  -1.2759E-01
   2.5633E+00  -1.2887E-01
   2.5633E+00  -1.3002E-01
   2.5634E+00  -1.3066E-01
   2.5635E+00  -1.3088E-01
   2.5636E+00  -1.3089E-01
   2.5636E+00  -1.3082E-01
   2.5636E+00  -1.3037E-01
   2.5636E+00  -1.3009E-01
   2.5636E+00  -1.2745E-01
   2.5636E+00  -1.2745E-01
   2.5637E+00  -1.2791E-01
   2.5637E+00  -1.2923E-01
   2.5637E+00  -1.3025E-01
   2.5638E+00  -1.3081E-01
   2.5638E+00  -1.3108E-01
   2.5639E+00  -1.3119E-01
   2.5640E+00  -1.3121E-01
   2.5643E+00  -1.3117E-01
   2.5646E+00  -1.3113E-01
   2.5652E+00  -1.3110E-01
   2.5663E+00  -1.3110E-01
   2.5675E+00  -1.3117E-01
   2.5677E+00  -1.3116E-01
   2.5680E+00  -1.3134E-01
   2.5686E+00  -1.3129E-01
   2.5690E+00  -1.3111E-01
   2.5695E+00  -1.3122E-01
   2.5704E+00  -1.3127E-01
   2.5719E+00  -1.3131E-01
   2.5744E+00  -1.3136E-01
   2.5788E+00  -1.3146E-01
   2.5837E+00  -1.3165E-01
   2.5838E+00  -1.3158E-01
   2.5839E+00  -1.3036E-01
   2.5839E+00  -1.2943E-01
   2.5839E+00  -1.2784E-01
   2.5840E+00  -1.2784E-01
   2.5840E+00  -1.2782E-01
   2.5840E+00  -1.2782E-01
   2.5840E+00  -1.2781E-01
   2.5840E+00  -1.2780E-01
   2.5840E+00  -1.2780E-01
   2.5840E+00  -1.2842E-01
   2.5841E+00  -1.2957E-01
   2.5842E+00  -1.3040E-01
   2.5843E+00  -1.3088E-01
   2.5844E+00  -1.3110E-01
   2.5847E+00  -1.3127E-01
   2.5849E+00  -1.3137E-01
   2.5851E+00  -1.3145E-01
   2.5853E+00  -1.3147E-01
   2.5857E+00  -1.3140E-01
   2.5859E+00  -1.3143E-01
   2.5861E+00  -1.3147E-01
   2.5865E+00  -1.3146E-01
   2.5869E+00  -1.3151E-01
   2.5869E+00  -1.3144E-01
   2.5869E+00  -1.3087E-01
   2.5869E+00  -1.3087E-01
   2.5869E+00  -1.2779E-01
   2.5869E+00  -1.2779E-01
   2.5869E+00  -1.2779E-01
   2.5869E+00  -1.2779E-01
   2.5869E+00  -1.2983E-01
   2.5869E+00  -1.3050E-01
   2.5870E+00  -1.3149E-01
   2.5870E+00  -1.3147E-01
   2.5870E+00  -1.3330E-01
   2.5870E+00  -1.3230E-01
   2.5870E+00  -1.3288E-01
   2.5870E+00  -1.3184E-01
   2.5870E+00  -1.3133E-01
   2.5870E+00  -1.3120E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2851E-01
   2.5870E+00  -1.2949E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2778E-01
   2.5870E+00  -1.2886E-01
   2.5870E+00  -1.3010E-01
   2.5870E+00  -1.3097E-01
   2.5871E+00  -1.3143E-01
   2.5872E+00  -1.3160E-01
   2.5873E+00  -1.3163E-01
   2.5874E+00  -1.3159E-01
   2.5876E+00  -1.3258E-01
   2.5879E+00  -1.3152E-01
   2.5884E+00  -1.3102E-01
   2.5884E+00  -1.3064E-01
   2.5885E+00  -1.2782E-01
   2.5885E+00  -1.2780E-01
   2.5885E+00  -1.2778E-01
   2.5885E+00  -1.2777E-01
   2.5885E+00  -1.2776E-01
   2.5886E+00  -1.2776E-01
   2.5886E+00  -1.2775E-01
   2.5886E+00  -1.2774E-01
   2.5886E+00  -1.2774E-01
   2.5886E+00  -1.2773E-01
   2.5886E+00  -1.2773E-01
   2.5887E+00  -1.2771E-01
   2.5887E+00  -1.2856E-01
   2.5888E+00  -1.2962E-01
   2.5889E+00  -1.3033E-01
   2.5890E+00  -1.3071E-01
   2.5891E+00  -1.3098E-01
   2.5892E+00  -1.3085E-01
   2.5892E+00  -1.3045E-01
   2.5893E+00  -1.3028E-01
   2.5895E+00  -1.3041E-01
   2.5898E+00  -1.3055E-01
   2.5904E+00  -1.3061E-01
   2.5913E+00  -1.3058E-01
   2.5929E+00  -1.3051E-01
   2.5957E+00  -1.3035E-01
   2.6006E+00  -1.3014E-01
   2.6077E+00  -1.2993E-01
   2.6152E+00  -1.2944E-01
   2.6227E+00  -1.2874E-01
   2.6302E+00  -1.2809E-01
   2.6377E+00  -1.2758E-01
   2.6452E+00  -1.2709E-01
   2.6527E+00  -1.2663E-01
   2.6602E+00  -1.2633E-01
   2.6677E+00  -1.2609E-01
   2.6752E+00  -1.2535E-01
   2.6753E+00  -1.2557E-01
   2.6753E+00  -2.0368E-01
   2.6753E+00  -2.0370E-01
   2.6753E+00  -2.0371E-01
   2.6753E+00  -2.0373E-01
   2.6753E+00  -2.0373E-01
   2.6753E+00  -2.0373E-01
   2.6753E+00  -2.0373E-01
   2.6753E+00  -2.0373E-01
   2.6753E+00  -2.0373E-01
   2.6753E+00  -2.0373E-01
   2.6753E+00  -2.0374E-01
   2.6753E+00  -2.0374E-01
   2.6753E+00  -2.0374E-01
   2.6753E+00  -2.0374E-01
   2.6753E+00  -2.0374E-01
   2.6753E+00  -2.0374E-01
   2.6753E+00  -2.0374E-01
   2.6753E+00  -2.0374E-01
   2.6753E+00  -1.9631E-01
   2.6753E+00  -1.9631E-01
   2.6753E+00  -1.9632E-01
   2.6753E+00  -1.9632E-01
   2.6753E+00  -1.9632E-01
   2.6753E+00  -1.9632E-01
   2.6753E+00  -1.9632E-01
   2.6753E+00  -1.9632E-01
   2.6753E+00  -1.9633E-01
   2.6753E+00  -1.9633E-01
   2.6753E+00  -1.9633E-01
   2.6753E+00  -1.9634E-01
   2.6753E+00  -1.9636E-01
   2.6753E+00  -1.9638E-01
   2.6753E+00  -1.9641E-01
   2.6753E+00  -1.9644E-01
   2.6753E+00  -1.9648E-01
   2.6753E+00  -1.9653E-01
   2.6753E+00  -1.9659E-01
   2.6753E+00  -1.9666E-01
   2.6753E+00  -2.1101E-01
   2.6753E+00  -2.1113E-01
   2.6753E+00  -2.1127E-01
   2.6753E+00  -2.1142E-01
   2.6753E+00  -2.1161E-01
   2.6753E+00  -2.1184E-01
   2.6753E+00  -2.1212E-01
   2.6753E+00  -2.1246E-01
   2.6753E+00  -2.1290E-01
   2.6754E+00  -2.1346E-01
   2.6754E+00  -1.9026E-01
   2.6754E+00  -1.6133E-01
   2.6754E+00  -1.4033E-01
   2.6755E+00  -1.2442E-01
   2.6755E+00  -1.2441E-01
   2.6755E+00  -1.2440E-01
   2.6755E+00  -1.2439E-01
   2.6755E+00  -1.2438E-01
   2.6755E+00  -1.2436E-01
   2.6756E+00  -1.2434E-01
   2.6756E+00  -1.2432E-01
   2.6756E+00  -1.2431E-01
   2.6757E+00  -1.2428E-01
   2.6757E+00  -1.2427E-01
   2.6757E+00  -1.2424E-01
   2.6757E+00  -1.2424E-01
   2.6757E+00  -1.2424E-01
   2.6757E+00  -1.2423E-01
   2.6757E+00  -1.2423E-01
   2.6757E+00  -1.2423E-01
   2.6757E+00  -1.2423E-01
   2.6757E+00  -1.2422E-01
   2.6757E+00  -1.2511E-01
   2.6757E+00  -1.2589E-01
   2.6757E+00  -1.2609E-01
   2.6757E+00  -1.2604E-01
   2.6758E+00  -1.2656E-01
   2.6758E+00  -1.2658E-01
   2.6758E+00  -1.2776E-01
   2.6758E+00  -1.2733E-01
   2.6758E+00  -1.2724E-01
   2.6758E+00  -1.2706E-01
   2.6758E+00  -1.2712E-01
   2.6758E+00  -1.2697E-01
   2.6758E+00  -1.2713E-01
   2.6758E+00  -1.2703E-01
   2.6758E+00  -1.2703E-01
   2.6758E+00  -1.2706E-01
   2.6758E+00  -1.2810E-01
   2.6758E+00  -1.2764E-01
   2.6758E+00  -1.2767E-01
   2.6759E+00  -1.2728E-01
   2.6759E+00  -1.2686E-01
   2.6759E+00  -1.2706E-01
   2.6759E+00  -1.2785E-01
   2.6760E+00  -1.2772E-01
   2.6760E+00  -1.2753E-01
   2.6760E+00  -1.2737E-01
   2.6760E+00  -1.2752E-01
   2.6760E+00  -1.2740E-01
   2.6760E+00  -1.2908E-01
   2.6760E+00  -1.2893E-01
   2.6760E+00  -1.2837E-01
   2.6761E+00  -1.2779E-01
   2.6761E+00  -1.2805E-01
   2.6761E+00  -1.2758E-01
   2.6761E+00  -1.2422E-01
   2.6761E+00  -1.2538E-01
   2.6762E+00  -1.2646E-01
   2.6762E+00  -1.2713E-01
   2.6763E+00  -1.2745E-01
   2.6764E+00  -1.2755E-01
   2.6766E+00  -1.2796E-01
   2.6769E+00  -1.2767E-01
   2.6774E+00  -1.2748E-01
   2.6780E+00  -1.2738E-01
   2.6783E+00  -1.2719E-01
   2.6787E+00  -1.2739E-01
   2.6792E+00  -1.2749E-01
   2.6800E+00  -1.2753E-01
   2.6812E+00  -1.2753E-01
   2.6832E+00  -1.2754E-01
   2.6833E+00  -1.2757E-01
   2.6834E+00  -1.3043E-01
   2.6834E+00  -1.3241E-01
   2.6834E+00  -1.4386E-01
   2.6834E+00  -1.4964E-01
   2.6834E+00  -1.6192E-01
   2.6834E+00  -1.6269E-01
   2.6834E+00  -1.5249E-01
   2.6834E+00  -1.4073E-01
   2.6834E+00  -1.3279E-01
   2.6835E+00  -1.2867E-01
   2.6835E+00  -1.2687E-01
   2.6835E+00  -1.2625E-01
   2.6835E+00  -1.2653E-01
   2.6836E+00  -1.2709E-01
   2.6836E+00  -1.2761E-01
   2.6837E+00  -1.2789E-01
   2.6837E+00  -1.2797E-01
   2.6838E+00  -1.2795E-01
   2.6839E+00  -1.2813E-01
   2.6841E+00  -1.2799E-01
   2.6844E+00  -1.2788E-01
   2.6848E+00  -1.2786E-01
   2.6853E+00  -1.2786E-01
   2.6858E+00  -1.2785E-01
   2.6867E+00  -1.2794E-01
   2.6880E+00  -1.2801E-01
   2.6880E+00  -1.2804E-01
   2.6880E+00  -1.3793E-01
   2.6880E+00  -1.5963E-01
   2.6881E+00  -1.8636E-01
   2.6881E+00  -1.8934E-01
   2.6881E+00  -2.2046E-01
   2.6881E+00  -2.2048E-01
   2.6881E+00  -2.2050E-01
   2.6881E+00  -1.9981E-01
   2.6881E+00  -1.6768E-01
   2.6881E+00  -1.4358E-01
   2.6881E+00  -1.2487E-01
   2.6881E+00  -1.2487E-01
   2.6881E+00  -1.2487E-01
   2.6881E+00  -1.2487E-01
   2.6881E+00  -1.2487E-01
   2.6881E+00  -1.2487E-01
   2.6881E+00  -1.2487E-01
   2.6881E+00  -1.2580E-01
   2.6881E+00  -1.2613E-01
   2.6881E+00  -1.2697E-01
   2.6881E+00  -1.2813E-01
   2.6881E+00  -1.2816E-01
   2.6881E+00  -1.2900E-01
   2.6881E+00  -1.2858E-01
   2.6881E+00  -1.2487E-01
   2.6881E+00  -1.2644E-01
   2.6881E+00  -1.2770E-01
   2.6881E+00  -1.2837E-01
   2.6881E+00  -1.2861E-01
   2.6881E+00  -1.2864E-01
   2.6882E+00  -1.2857E-01
   2.6882E+00  -1.2849E-01
   2.6882E+00  -1.2833E-01
   2.6882E+00  -1.2914E-01
   2.6883E+00  -1.2872E-01
   2.6883E+00  -1.2951E-01
   2.6883E+00  -1.2880E-01
   2.6883E+00  -1.2896E-01
   2.6883E+00  -1.2840E-01
   2.6884E+00  -1.2742E-01
   2.6884E+00  -1.2790E-01
   2.6885E+00  -1.2818E-01
   2.6886E+00  -1.2857E-01
   2.6887E+00  -1.2833E-01
   2.6888E+00  -1.2744E-01
   2.6889E+00  -1.2798E-01
   2.6890E+00  -1.2822E-01
   2.6892E+00  -1.2827E-01
   2.6895E+00  -1.2825E-01
   2.6898E+00  -1.2822E-01
   2.6903E+00  -1.2821E-01
   2.6909E+00  -1.2820E-01
   2.6916E+00  -1.2826E-01
   2.6916E+00  -1.2820E-01
   2.6916E+00  -1.3120E-01
   2.6916E+00  -1.3348E-01
   2.6916E+00  -1.3373E-01
   2.6916E+00  -1.3217E-01
   2.6916E+00  -1.3028E-01
   2.6916E+00  -1.3426E-01
   2.6916E+00  -1.3264E-01
   2.6916E+00  -1.3279E-01
   2.6917E+00  -1.2929E-01
   2.6917E+00  -1.2900E-01
   2.6917E+00  -1.2851E-01
   2.6917E+00  -1.2654E-01
   2.6917E+00  -1.2600E-01
   2.6917E+00  -1.2553E-01
   2.6917E+00  -1.2623E-01
   2.6917E+00  -1.2818E-01
   2.6917E+00  -1.2838E-01
   2.6917E+00  -1.2855E-01
   2.6917E+00  -1.2849E-01
   2.6917E+00  -1.2502E-01
