# Trace from filein = ./62270a01                                                                                                                   
#   time        POHT                                                                                                                         
   2.5675E+00   1.7003E-01
   2.5677E+00   1.7003E-01
   2.5680E+00   1.7001E-01
   2.5686E+00   1.7006E-01
   2.5690E+00   1.7018E-01
   2.5695E+00   1.7013E-01
   2.5704E+00   1.7009E-01
   2.5719E+00   1.7004E-01
   2.5744E+00   1.6994E-01
   2.5788E+00   1.6973E-01
   2.5837E+00   1.6927E-01
   2.5838E+00   1.6969E-01
   2.5839E+00   1.6968E-01
   2.5839E+00   1.6956E-01
   2.5839E+00   1.6953E-01
   2.5840E+00   1.6949E-01
   2.5840E+00   1.6943E-01
   2.5840E+00   1.6939E-01
   2.5840E+00   1.6935E-01
   2.5840E+00   1.6932E-01
   2.5840E+00   1.6929E-01
   2.5840E+00   1.6926E-01
   2.5841E+00   1.6921E-01
   2.5842E+00   1.6917E-01
   2.5843E+00   1.6912E-01
   2.5844E+00   1.6909E-01
   2.5847E+00   1.6906E-01
   2.5849E+00   1.6905E-01
   2.5851E+00   1.6905E-01
   2.5853E+00   1.6906E-01
   2.5857E+00   1.6906E-01
   2.5859E+00   1.6906E-01
   2.5861E+00   1.6906E-01
   2.5865E+00   1.6907E-01
   2.5869E+00   1.6901E-01
   2.5869E+00   1.6904E-01
   2.5869E+00   1.6904E-01
   2.5869E+00   1.6903E-01
   2.5869E+00   1.6903E-01
   2.5869E+00   1.6903E-01
   2.5869E+00   1.6902E-01
   2.5869E+00   1.6902E-01
   2.5869E+00   1.6900E-01
   2.5869E+00   1.6900E-01
   2.5870E+00   1.6898E-01
   2.5870E+00   1.6899E-01
   2.5870E+00   1.6896E-01
   2.5870E+00   1.6898E-01
   2.5870E+00   1.6896E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6896E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6897E-01
   2.5870E+00   1.6896E-01
   2.5870E+00   1.6895E-01
   2.5870E+00   1.6894E-01
   2.5870E+00   1.6893E-01
   2.5871E+00   1.6893E-01
   2.5872E+00   1.6894E-01
   2.5873E+00   1.6895E-01
   2.5874E+00   1.6897E-01
   2.5876E+00   1.6899E-01
   2.5879E+00   1.6914E-01
   2.5884E+00   1.6911E-01
   2.5884E+00   1.6891E-01
   2.5885E+00   1.6889E-01
   2.5885E+00   1.6880E-01
   2.5885E+00   1.6871E-01
   2.5885E+00   1.6866E-01
   2.5885E+00   1.6861E-01
   2.5886E+00   1.6857E-01
   2.5886E+00   1.6853E-01
   2.5886E+00   1.6850E-01
   2.5886E+00   1.6847E-01
   2.5886E+00   1.6844E-01
   2.5886E+00   1.6840E-01
   2.5887E+00   1.6833E-01
   2.5887E+00   1.6824E-01
   2.5888E+00   1.6817E-01
   2.5889E+00   1.6810E-01
   2.5890E+00   1.6804E-01
   2.5891E+00   1.6801E-01
   2.5892E+00   1.6799E-01
   2.5892E+00   1.6796E-01
   2.5893E+00   1.6791E-01
   2.5895E+00   1.6784E-01
   2.5898E+00   1.6775E-01
   2.5904E+00   1.6762E-01
   2.5913E+00   1.6746E-01
   2.5929E+00   1.6725E-01
   2.5957E+00   1.6695E-01
   2.6006E+00   1.6658E-01
   2.6077E+00   1.6615E-01
   2.6152E+00   1.6518E-01
   2.6227E+00   1.6362E-01
   2.6302E+00   1.6195E-01
   2.6377E+00   1.6033E-01
   2.6452E+00   1.5885E-01
   2.6527E+00   1.5785E-01
   2.6602E+00   1.5755E-01
   2.6677E+00   1.5766E-01
   2.6752E+00   1.5800E-01
   2.6753E+00   1.5569E-01
   2.6753E+00   1.5572E-01
   2.6753E+00   1.5575E-01
   2.6753E+00   1.5577E-01
   2.6753E+00   1.5580E-01
   2.6753E+00   1.5580E-01
   2.6753E+00   1.5580E-01
   2.6753E+00   1.5580E-01
   2.6753E+00   1.5581E-01
   2.6753E+00   1.5581E-01
   2.6753E+00   1.5581E-01
   2.6753E+00   1.5581E-01
   2.6753E+00   1.5582E-01
   2.6753E+00   1.5582E-01
   2.6753E+00   1.5582E-01
   2.6753E+00   1.5582E-01
   2.6753E+00   1.5582E-01
   2.6753E+00   1.5582E-01
   2.6753E+00   1.5582E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5583E-01
   2.6753E+00   1.5584E-01
   2.6753E+00   1.5585E-01
   2.6753E+00   1.5586E-01
   2.6753E+00   1.5588E-01
   2.6753E+00   1.5592E-01
   2.6753E+00   1.5597E-01
   2.6753E+00   1.5602E-01
   2.6753E+00   1.5609E-01
   2.6753E+00   1.5617E-01
   2.6753E+00   1.5626E-01
   2.6753E+00   1.5637E-01
   2.6753E+00   1.5651E-01
   2.6753E+00   1.5670E-01
   2.6753E+00   1.5691E-01
   2.6753E+00   1.5716E-01
   2.6753E+00   1.5745E-01
   2.6753E+00   1.5781E-01
   2.6753E+00   1.5825E-01
   2.6753E+00   1.5880E-01
   2.6753E+00   1.5950E-01
   2.6754E+00   1.6039E-01
   2.6754E+00   1.6158E-01
   2.6754E+00   1.6275E-01
   2.6754E+00   1.6384E-01
   2.6755E+00   1.6403E-01
   2.6755E+00   1.6397E-01
   2.6755E+00   1.6394E-01
   2.6755E+00   1.6390E-01
   2.6755E+00   1.6383E-01
   2.6755E+00   1.6372E-01
   2.6756E+00   1.6364E-01
   2.6756E+00   1.6355E-01
   2.6756E+00   1.6346E-01
   2.6757E+00   1.6332E-01
   2.6757E+00   1.6327E-01
   2.6757E+00   1.6314E-01
   2.6757E+00   1.6310E-01
   2.6757E+00   1.6309E-01
   2.6757E+00   1.6308E-01
   2.6757E+00   1.6307E-01
   2.6757E+00   1.6307E-01
   2.6757E+00   1.6305E-01
   2.6757E+00   1.6304E-01
   2.6757E+00   1.6300E-01
   2.6757E+00   1.6297E-01
   2.6757E+00   1.6297E-01
   2.6757E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6297E-01
   2.6758E+00   1.6296E-01
   2.6758E+00   1.6296E-01
   2.6758E+00   1.6294E-01
   2.6758E+00   1.6295E-01
   2.6758E+00   1.6294E-01
   2.6759E+00   1.6295E-01
   2.6759E+00   1.6295E-01
   2.6759E+00   1.6294E-01
   2.6759E+00   1.6293E-01
   2.6760E+00   1.6294E-01
   2.6760E+00   1.6295E-01
   2.6760E+00   1.6296E-01
   2.6760E+00   1.6295E-01
   2.6760E+00   1.6296E-01
   2.6760E+00   1.6296E-01
   2.6760E+00   1.6297E-01
   2.6760E+00   1.6298E-01
   2.6761E+00   1.6299E-01
   2.6761E+00   1.6297E-01
   2.6761E+00   1.6298E-01
   2.6761E+00   1.6302E-01
   2.6761E+00   1.6298E-01
   2.6762E+00   1.6296E-01
   2.6762E+00   1.6294E-01
   2.6763E+00   1.6294E-01
   2.6764E+00   1.6295E-01
   2.6766E+00   1.6299E-01
   2.6769E+00   1.6309E-01
   2.6774E+00   1.6316E-01
   2.6780E+00   1.6321E-01
   2.6783E+00   1.6341E-01
   2.6787E+00   1.6335E-01
   2.6792E+00   1.6334E-01
   2.6800E+00   1.6340E-01
   2.6812E+00   1.6350E-01
   2.6832E+00   1.6364E-01
   2.6833E+00   1.6385E-01
   2.6834E+00   1.6386E-01
   2.6834E+00   1.6409E-01
   2.6834E+00   1.6412E-01
   2.6834E+00   1.6432E-01
   2.6834E+00   1.6440E-01
   2.6834E+00   1.6449E-01
   2.6834E+00   1.6461E-01
   2.6834E+00   1.6471E-01
   2.6834E+00   1.6478E-01
   2.6835E+00   1.6483E-01
   2.6835E+00   1.6486E-01
   2.6835E+00   1.6484E-01
   2.6835E+00   1.6482E-01
   2.6836E+00   1.6480E-01
   2.6836E+00   1.6478E-01
   2.6837E+00   1.6478E-01
   2.6837E+00   1.6479E-01
   2.6838E+00   1.6481E-01
   2.6839E+00   1.6478E-01
   2.6841E+00   1.6482E-01
   2.6844E+00   1.6487E-01
   2.6848E+00   1.6490E-01
   2.6853E+00   1.6495E-01
   2.6858E+00   1.6506E-01
   2.6867E+00   1.6507E-01
   2.6880E+00   1.6514E-01
   2.6880E+00   1.6525E-01
   2.6880E+00   1.6526E-01
   2.6880E+00   1.6536E-01
   2.6881E+00   1.6558E-01
   2.6881E+00   1.6580E-01
   2.6881E+00   1.6581E-01
   2.6881E+00   1.6584E-01
   2.6881E+00   1.6589E-01
   2.6881E+00   1.6597E-01
   2.6881E+00   1.6607E-01
   2.6881E+00   1.6616E-01
   2.6881E+00   1.6616E-01
   2.6881E+00   1.6616E-01
   2.6881E+00   1.6616E-01
   2.6881E+00   1.6616E-01
   2.6881E+00   1.6616E-01
   2.6881E+00   1.6616E-01
   2.6881E+00   1.6615E-01
   2.6881E+00   1.6614E-01
   2.6881E+00   1.6613E-01
   2.6881E+00   1.6613E-01
   2.6881E+00   1.6612E-01
   2.6881E+00   1.6613E-01
   2.6881E+00   1.6612E-01
   2.6881E+00   1.6613E-01
   2.6881E+00   1.6613E-01
   2.6881E+00   1.6613E-01
   2.6881E+00   1.6612E-01
   2.6881E+00   1.6612E-01
   2.6881E+00   1.6613E-01
   2.6881E+00   1.6614E-01
   2.6882E+00   1.6616E-01
   2.6882E+00   1.6618E-01
   2.6882E+00   1.6619E-01
   2.6882E+00   1.6619E-01
   2.6883E+00   1.6620E-01
   2.6883E+00   1.6619E-01
   2.6883E+00   1.6620E-01
   2.6883E+00   1.6619E-01
   2.6883E+00   1.6621E-01
   2.6884E+00   1.6623E-01
   2.6884E+00   1.6621E-01
   2.6885E+00   1.6620E-01
   2.6886E+00   1.6620E-01
   2.6887E+00   1.6623E-01
   2.6888E+00   1.6631E-01
   2.6889E+00   1.6625E-01
   2.6890E+00   1.6623E-01
   2.6892E+00   1.6623E-01
   2.6895E+00   1.6624E-01
   2.6898E+00   1.6624E-01
   2.6903E+00   1.6625E-01
   2.6909E+00   1.6627E-01
   2.6916E+00   1.6623E-01
   2.6916E+00   1.6631E-01
   2.6916E+00   1.6632E-01
   2.6916E+00   1.6639E-01
   2.6916E+00   1.6648E-01
   2.6916E+00   1.6655E-01
   2.6916E+00   1.6660E-01
   2.6916E+00   1.6661E-01
   2.6916E+00   1.6661E-01
   2.6916E+00   1.6661E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6664E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6664E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6663E-01
   2.6917E+00   1.6662E-01
   2.6917E+00   1.6662E-01
   2.6917E+00   1.6663E-01
   2.6918E+00   1.6664E-01
   2.6918E+00   1.6665E-01
   2.6919E+00   1.6668E-01
   2.6921E+00   1.6670E-01
   2.6923E+00   1.6668E-01
   2.6923E+00   1.6668E-01
   2.6923E+00   1.6667E-01
   2.6924E+00   1.6671E-01
   2.6924E+00   1.6677E-01
   2.6924E+00   1.6680E-01
   2.6925E+00   1.6682E-01
   2.6925E+00   1.6685E-01
   2.6927E+00   1.6688E-01
   2.6929E+00   1.6690E-01
   2.6930E+00   1.6692E-01
   2.6930E+00   1.6693E-01
   2.6931E+00   1.6692E-01
   2.6932E+00   1.6692E-01
   2.6933E+00   1.6694E-01
   2.6936E+00   1.6696E-01
   2.6941E+00   1.6700E-01
   2.6950E+00   1.6702E-01
   2.6965E+00   1.6703E-01
   2.6992E+00   1.6699E-01
   2.7038E+00   1.6703E-01
   2.7113E+00   1.6693E-01
   2.7113E+00   1.6690E-01
   2.7113E+00   1.6691E-01
   2.7113E+00   1.6698E-01
   2.7113E+00   1.6704E-01
   2.7113E+00   1.6711E-01
   2.7113E+00   1.6713E-01
   2.7113E+00   1.6717E-01
   2.7113E+00   1.6723E-01
   2.7113E+00   1.6732E-01
   2.7113E+00   1.6743E-01
   2.7113E+00   1.6756E-01
   2.7113E+00   1.6771E-01
   2.7113E+00   1.6790E-01
   2.7113E+00   1.6813E-01
   2.7113E+00   1.6840E-01
   2.7113E+00   1.6873E-01
   2.7113E+00   1.6907E-01
   2.7113E+00   1.6936E-01
   2.7114E+00   1.6958E-01
   2.7114E+00   1.6970E-01
   2.7114E+00   1.6968E-01
   2.7114E+00   1.6963E-01
   2.7115E+00   1.6954E-01
   2.7115E+00   1.6948E-01
   2.7115E+00   1.6940E-01
   2.7115E+00   1.6933E-01
   2.7116E+00   1.6927E-01
   2.7116E+00   1.6922E-01
   2.7116E+00   1.6920E-01
   2.7116E+00   1.6915E-01
   2.7116E+00   1.6918E-01
   2.7117E+00   1.6918E-01
   2.7117E+00   1.6920E-01
   2.7117E+00   1.6921E-01
   2.7117E+00   1.6922E-01
   2.7117E+00   1.6922E-01
   2.7118E+00   1.6920E-01
   2.7118E+00   1.6918E-01
   2.7118E+00   1.6917E-01
   2.7119E+00   1.6917E-01
   2.7120E+00   1.6916E-01
   2.7121E+00   1.6916E-01
   2.7122E+00   1.6908E-01
   2.7123E+00   1.6909E-01
   2.7124E+00   1.6915E-01
   2.7125E+00   1.6909E-01
   2.7126E+00   1.6905E-01
   2.7129E+00   1.6903E-01
   2.7133E+00   1.6900E-01
   2.7140E+00   1.6898E-01
   2.7153E+00   1.6894E-01
   2.7176E+00   1.6892E-01
   2.7190E+00   1.6904E-01
   2.7208E+00   1.6894E-01
   2.7234E+00   1.6892E-01
   2.7274E+00   1.6897E-01
   2.7343E+00   1.6913E-01
   2.7343E+00   1.6951E-01
   2.7343E+00   1.6953E-01
   2.7343E+00   1.6958E-01
   2.7343E+00   1.6959E-01
   2.7343E+00   1.6961E-01
   2.7343E+00   1.6962E-01
   2.7343E+00   1.6965E-01
   2.7343E+00   1.6969E-01
   2.7343E+00   1.6973E-01
   2.7343E+00   1.6980E-01
   2.7343E+00   1.6987E-01
   2.7343E+00   1.6993E-01
   2.7343E+00   1.6998E-01
   2.7343E+00   1.7000E-01
   2.7343E+00   1.7001E-01
   2.7343E+00   1.7001E-01
   2.7343E+00   1.7000E-01
   2.7343E+00   1.6998E-01
   2.7343E+00   1.6996E-01
   2.7343E+00   1.6996E-01
   2.7343E+00   1.6996E-01
   2.7343E+00   1.6992E-01
   2.7344E+00   1.6994E-01
   2.7344E+00   1.6994E-01
   2.7344E+00   1.6997E-01
   2.7344E+00   1.6998E-01
   2.7344E+00   1.6997E-01
   2.7344E+00   1.6996E-01
   2.7344E+00   1.6995E-01
   2.7345E+00   1.6994E-01
   2.7345E+00   1.6993E-01
   2.7346E+00   1.6994E-01
   2.7347E+00   1.6996E-01
   2.7349E+00   1.6999E-01
   2.7352E+00   1.7003E-01
   2.7356E+00   1.7007E-01
   2.7364E+00   1.7009E-01
   2.7364E+00   1.7014E-01
   2.7364E+00   1.7011E-01
   2.7364E+00   1.7016E-01
   2.7364E+00   1.7017E-01
   2.7364E+00   1.7021E-01
   2.7364E+00   1.7028E-01
   2.7364E+00   1.7027E-01
   2.7364E+00   1.7025E-01
   2.7365E+00   1.7023E-01
   2.7365E+00   1.7022E-01
   2.7366E+00   1.7023E-01
   2.7368E+00   1.7025E-01
   2.7371E+00   1.7027E-01
   2.7376E+00   1.7028E-01
   2.7384E+00   1.7027E-01
   2.7384E+00   1.7025E-01
   2.7384E+00   1.7024E-01
   2.7384E+00   1.7024E-01
   2.7384E+00   1.7021E-01
   2.7384E+00   1.7022E-01
   2.7385E+00   1.7022E-01
   2.7385E+00   1.7022E-01
   2.7385E+00   1.7021E-01
   2.7385E+00   1.7021E-01
