# Trace from filein = ./62270n01                                                                                                                   
#   time        TI0                                                                                                                          
   2.3738E+00   1.4916E+00
   2.3739E+00   1.4916E+00
   2.3739E+00   1.4917E+00
   2.3740E+00   1.4918E+00
   2.3742E+00   1.4920E+00
   2.3744E+00   1.4923E+00
   2.3749E+00   1.4930E+00
   2.3757E+00   1.4941E+00
   2.3770E+00   1.4960E+00
   2.3794E+00   1.4987E+00
   2.3833E+00   1.5019E+00
   2.3901E+00   1.4171E+00
   2.3956E+00   1.4211E+00
   2.3985E+00   1.4217E+00
   2.3985E+00   1.4216E+00
   2.3985E+00   1.4216E+00
   2.3985E+00   1.4216E+00
   2.3985E+00   1.4216E+00
   2.3985E+00   1.4216E+00
   2.3985E+00   1.4216E+00
   2.3985E+00   1.4216E+00
   2.3985E+00   1.4216E+00
   2.3985E+00   1.4216E+00
   2.3986E+00   1.4216E+00
   2.3986E+00   1.4216E+00
   2.3986E+00   1.4215E+00
   2.3986E+00   1.4215E+00
   2.3986E+00   1.4215E+00
   2.3986E+00   1.4215E+00
   2.3986E+00   1.4215E+00
   2.3986E+00   1.4215E+00
   2.3986E+00   1.4143E+00
   2.3986E+00   1.4067E+00
   2.3986E+00   1.3983E+00
   2.3986E+00   1.3886E+00
   2.3986E+00   1.3772E+00
   2.3986E+00   1.3638E+00
   2.3986E+00   1.3479E+00
   2.3986E+00   1.3291E+00
   2.3986E+00   1.3067E+00
   2.3986E+00   1.2848E+00
   2.3986E+00   1.2693E+00
   2.3986E+00   1.2615E+00
   2.3986E+00   1.2633E+00
   2.3987E+00   1.2634E+00
   2.3987E+00   1.2637E+00
   2.3987E+00   1.2639E+00
   2.3987E+00   1.2642E+00
   2.3987E+00   1.2643E+00
   2.3987E+00   1.2644E+00
   2.3987E+00   1.2645E+00
   2.3987E+00   1.2648E+00
   2.3987E+00   1.2653E+00
   2.3987E+00   1.2661E+00
   2.3987E+00   1.2670E+00
   2.3987E+00   1.2680E+00
   2.3988E+00   1.2691E+00
   2.3988E+00   1.2701E+00
   2.3988E+00   1.2713E+00
   2.3988E+00   1.2720E+00
   2.3988E+00   1.2723E+00
   2.3988E+00   1.2728E+00
   2.3988E+00   1.2737E+00
   2.3988E+00   1.2746E+00
   2.3989E+00   1.2761E+00
   2.3989E+00   1.2773E+00
   2.3989E+00   1.2774E+00
   2.3989E+00   1.2775E+00
   2.3989E+00   1.2777E+00
   2.3989E+00   1.2780E+00
   2.3989E+00   1.2785E+00
   2.3990E+00   1.2794E+00
   2.3990E+00   1.2809E+00
   2.3990E+00   1.2824E+00
   2.3991E+00   1.2843E+00
   2.3991E+00   1.2862E+00
   2.3991E+00   1.2862E+00
   2.3991E+00   1.2863E+00
   2.3991E+00   1.2863E+00
   2.3991E+00   1.2863E+00
   2.3991E+00   1.2864E+00
   2.3991E+00   1.2865E+00
   2.3991E+00   1.2867E+00
   2.3991E+00   1.2868E+00
   2.3991E+00   1.2871E+00
   2.3991E+00   1.2875E+00
   2.3991E+00   1.2881E+00
   2.3992E+00   1.2892E+00
   2.3992E+00   1.2907E+00
   2.3993E+00   1.2924E+00
   2.3993E+00   1.2942E+00
   2.3994E+00   1.2956E+00
   2.3994E+00   1.2960E+00
   2.3994E+00   1.2961E+00
   2.3994E+00   1.2963E+00
   2.3994E+00   1.2964E+00
   2.3994E+00   1.2964E+00
   2.3994E+00   1.2964E+00
   2.3994E+00   1.2965E+00
   2.3994E+00   1.2965E+00
   2.3994E+00   1.2966E+00
   2.3994E+00   1.2968E+00
   2.3994E+00   1.2971E+00
   2.3994E+00   1.2975E+00
   2.3994E+00   1.2978E+00
   2.3994E+00   1.2983E+00
   2.3995E+00   1.2991E+00
   2.3995E+00   1.3000E+00
   2.3995E+00   1.3007E+00
   2.3995E+00   1.3012E+00
   2.3995E+00   1.3021E+00
   2.3996E+00   1.3031E+00
