# Trace from filein = ./62270n01                                                                                                                   
#   time        TE0                                                                                                                          
   2.4176E+00   1.7019E+00
   2.4181E+00   1.7031E+00
   2.4184E+00   1.7039E+00
   2.4189E+00   1.7051E+00
   2.4192E+00   1.7059E+00
   2.4197E+00   1.7071E+00
   2.4198E+00   1.7072E+00
   2.4198E+00   1.7073E+00
   2.4198E+00   1.7073E+00
   2.4199E+00   1.7074E+00
   2.4199E+00   1.7075E+00
   2.4200E+00   1.7076E+00
   2.4201E+00   1.7078E+00
   2.4203E+00   1.7081E+00
   2.4206E+00   1.7086E+00
   2.4211E+00   1.7096E+00
   2.4220E+00   1.7113E+00
   2.4220E+00   1.7113E+00
   2.4220E+00   1.7113E+00
   2.4220E+00   1.7113E+00
   2.4220E+00   1.7113E+00
   2.4220E+00   1.7114E+00
   2.4220E+00   1.7114E+00
   2.4221E+00   1.7114E+00
   2.4221E+00   1.7114E+00
   2.4221E+00   1.7114E+00
   2.4221E+00   1.7115E+00
   2.4221E+00   1.7117E+00
   2.4222E+00   1.7119E+00
   2.4223E+00   1.7122E+00
   2.4226E+00   1.7128E+00
   2.4230E+00   1.7138E+00
   2.4232E+00   1.7145E+00
   2.4237E+00   1.7156E+00
   2.4241E+00   1.7165E+00
   2.4244E+00   1.7171E+00
   2.4249E+00   1.7181E+00
   2.4253E+00   1.7189E+00
   2.4256E+00   1.7195E+00
   2.4261E+00   1.7204E+00
   2.4265E+00   1.7211E+00
   2.4269E+00   1.7217E+00
   2.4274E+00   1.7225E+00
   2.4278E+00   1.7232E+00
   2.4282E+00   1.7237E+00
   2.4287E+00   1.7245E+00
   2.4292E+00   1.7251E+00
   2.4299E+00   1.7261E+00
   2.4299E+00   1.7261E+00
   2.4299E+00   1.7261E+00
   2.4299E+00   1.7261E+00
   2.4299E+00   1.7261E+00
   2.4299E+00   1.7261E+00
   2.4299E+00   1.7261E+00
   2.4299E+00   1.7261E+00
   2.4299E+00   1.7261E+00
   2.4300E+00   1.7262E+00
   2.4300E+00   1.7262E+00
   2.4301E+00   1.7263E+00
   2.4302E+00   1.7265E+00
   2.4304E+00   1.7268E+00
   2.4308E+00   1.7273E+00
   2.4315E+00   1.7282E+00
   2.4315E+00   1.7282E+00
   2.4315E+00   1.7282E+00
   2.4315E+00   1.7282E+00
   2.4315E+00   1.7282E+00
   2.4315E+00   1.7282E+00
   2.4315E+00   1.7282E+00
   2.4315E+00   1.7282E+00
   2.4315E+00   1.7283E+00
   2.4316E+00   1.7283E+00
   2.4316E+00   1.7283E+00
   2.4317E+00   1.7284E+00
   2.4318E+00   1.7286E+00
   2.4320E+00   1.7288E+00
   2.4324E+00   1.7293E+00
   2.4326E+00   1.7297E+00
   2.4330E+00   1.7303E+00
   2.4333E+00   1.7307E+00
   2.4338E+00   1.7315E+00
   2.4341E+00   1.7320E+00
   2.4346E+00   1.7329E+00
   2.4349E+00   1.7335E+00
   2.4352E+00   1.7338E+00
   2.4355E+00   1.7345E+00
   2.4358E+00   1.7349E+00
   2.4362E+00   1.7356E+00
   2.4365E+00   1.7361E+00
   2.4369E+00   1.7370E+00
   2.4377E+00   1.7365E+00
   2.4377E+00   1.7365E+00
   2.4377E+00   1.7365E+00
   2.4377E+00   1.7365E+00
   2.4377E+00   1.7365E+00
   2.4377E+00   1.7365E+00
   2.4377E+00   1.7365E+00
   2.4378E+00   1.7366E+00
   2.4378E+00   1.7366E+00
   2.4378E+00   1.7367E+00
   2.4379E+00   1.7369E+00
   2.4380E+00   1.7369E+00
   2.4381E+00   1.7369E+00
   2.4384E+00   1.7369E+00
   2.4390E+00   1.7368E+00
   2.4399E+00   1.7370E+00
   2.4410E+00   1.7376E+00
   2.4429E+00   1.7389E+00
   2.4462E+00   1.7419E+00
   2.4510E+00   1.7463E+00
   2.4585E+00   1.7592E+00
   2.4660E+00   1.6514E+00
   2.4701E+00   1.6599E+00
   2.4701E+00   1.6599E+00
   2.4701E+00   1.6599E+00
   2.4701E+00   1.6599E+00
   2.4701E+00   1.6599E+00
   2.4701E+00   1.6599E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6598E+00
   2.4701E+00   1.6597E+00
   2.4701E+00   1.6597E+00
   2.4701E+00   1.6597E+00
   2.4701E+00   1.6597E+00
   2.4701E+00   1.6597E+00
   2.4701E+00   1.6597E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6596E+00
   2.4701E+00   1.6595E+00
   2.4701E+00   1.6595E+00
   2.4701E+00   1.6594E+00
   2.4702E+00   1.6593E+00
   2.4702E+00   1.6592E+00
   2.4702E+00   1.6591E+00
   2.4703E+00   1.6590E+00
   2.4703E+00   1.6590E+00
   2.4703E+00   1.6590E+00
   2.4703E+00   1.6590E+00
   2.4704E+00   1.6589E+00
   2.4704E+00   1.6589E+00
   2.4704E+00   1.6589E+00
   2.4704E+00   1.6589E+00
   2.4704E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4705E+00   1.6589E+00
   2.4706E+00   1.6589E+00
   2.4706E+00   1.6589E+00
   2.4706E+00   1.6589E+00
   2.4706E+00   1.6589E+00
   2.4707E+00   1.6589E+00
   2.4707E+00   1.6589E+00
   2.4708E+00   1.6589E+00
   2.4708E+00   1.6589E+00
   2.4708E+00   1.6589E+00
   2.4708E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
