# Trace from filein = ./62270n01                                                                                                                   
#   time        PRAD                                                                                                                         
   2.3999E+00  -1.3166E-01
   2.4000E+00  -1.3169E-01
   2.4003E+00  -1.3136E-01
   2.4008E+00  -1.3167E-01
   2.4011E+00  -1.3184E-01
   2.4016E+00  -1.3192E-01
   2.4019E+00  -1.3193E-01
   2.4024E+00  -1.3189E-01
   2.4027E+00  -1.3188E-01
   2.4032E+00  -1.3180E-01
   2.4035E+00  -1.3179E-01
   2.4038E+00  -1.3172E-01
   2.4041E+00  -1.3166E-01
   2.4044E+00  -1.3165E-01
   2.4048E+00  -1.3164E-01
   2.4051E+00  -1.3164E-01
   2.4056E+00  -1.3164E-01
   2.4059E+00  -1.3163E-01
   2.4065E+00  -1.3163E-01
   2.4065E+00  -1.3152E-01
   2.4065E+00  -1.2831E-01
   2.4065E+00  -1.2831E-01
   2.4065E+00  -1.2831E-01
   2.4065E+00  -1.2831E-01
   2.4065E+00  -1.2830E-01
   2.4065E+00  -1.2880E-01
   2.4066E+00  -1.3011E-01
   2.4066E+00  -1.3103E-01
   2.4067E+00  -1.3156E-01
   2.4069E+00  -1.3171E-01
   2.4071E+00  -1.3177E-01
   2.4076E+00  -1.3171E-01
   2.4078E+00  -1.3170E-01
   2.4083E+00  -1.3166E-01
   2.4087E+00  -1.3166E-01
   2.4092E+00  -1.3163E-01
   2.4096E+00  -1.3164E-01
   2.4099E+00  -1.3165E-01
   2.4103E+00  -1.3164E-01
   2.4105E+00  -1.3161E-01
   2.4109E+00  -1.3161E-01
   2.4112E+00  -1.3159E-01
   2.4117E+00  -1.3160E-01
   2.4121E+00  -1.3157E-01
   2.4126E+00  -1.3158E-01
   2.4130E+00  -1.3149E-01
   2.4132E+00  -1.3155E-01
   2.4134E+00  -1.3154E-01
   2.4139E+00  -1.3157E-01
   2.4141E+00  -1.3155E-01
   2.4145E+00  -1.3155E-01
   2.4147E+00  -1.3153E-01
   2.4151E+00  -1.3152E-01
   2.4156E+00  -1.3149E-01
   2.4160E+00  -1.3148E-01
   2.4162E+00  -1.3145E-01
   2.4167E+00  -1.3145E-01
   2.4169E+00  -1.3143E-01
   2.4174E+00  -1.3144E-01
   2.4176E+00  -1.3143E-01
   2.4181E+00  -1.3144E-01
   2.4184E+00  -1.3143E-01
   2.4189E+00  -1.3143E-01
   2.4192E+00  -1.3141E-01
   2.4197E+00  -1.3142E-01
   2.4198E+00  -1.3158E-01
   2.4198E+00  -1.3126E-01
   2.4198E+00  -1.3102E-01
   2.4199E+00  -1.3093E-01
   2.4199E+00  -1.3084E-01
   2.4200E+00  -1.3107E-01
   2.4201E+00  -1.3121E-01
   2.4203E+00  -1.3135E-01
   2.4206E+00  -1.3135E-01
   2.4211E+00  -1.3137E-01
   2.4220E+00  -1.3133E-01
   2.4220E+00  -1.3126E-01
   2.4220E+00  -1.2799E-01
   2.4220E+00  -1.2799E-01
   2.4220E+00  -1.2799E-01
   2.4220E+00  -1.2799E-01
   2.4220E+00  -1.2799E-01
   2.4221E+00  -1.2799E-01
   2.4221E+00  -1.2799E-01
   2.4221E+00  -1.2886E-01
   2.4221E+00  -1.3006E-01
   2.4221E+00  -1.3084E-01
   2.4222E+00  -1.3126E-01
   2.4223E+00  -1.3135E-01
   2.4226E+00  -1.3139E-01
   2.4230E+00  -1.3133E-01
   2.4232E+00  -1.3133E-01
   2.4237E+00  -1.3128E-01
   2.4241E+00  -1.3128E-01
   2.4244E+00  -1.3124E-01
   2.4249E+00  -1.3124E-01
   2.4253E+00  -1.3122E-01
   2.4256E+00  -1.3122E-01
   2.4261E+00  -1.3118E-01
   2.4265E+00  -1.3120E-01
   2.4269E+00  -1.3117E-01
   2.4274E+00  -1.3117E-01
   2.4278E+00  -1.3115E-01
   2.4282E+00  -1.3116E-01
   2.4287E+00  -1.3112E-01
   2.4292E+00  -1.3134E-01
   2.4299E+00  -1.3113E-01
   2.4299E+00  -1.3089E-01
   2.4299E+00  -1.2786E-01
   2.4299E+00  -1.2786E-01
   2.4299E+00  -1.2785E-01
   2.4299E+00  -1.2785E-01
   2.4299E+00  -1.2785E-01
   2.4299E+00  -1.2785E-01
   2.4299E+00  -1.2785E-01
   2.4300E+00  -1.2784E-01
   2.4300E+00  -1.2894E-01
   2.4301E+00  -1.3015E-01
   2.4302E+00  -1.3078E-01
   2.4304E+00  -1.3106E-01
   2.4308E+00  -1.3108E-01
   2.4315E+00  -1.3108E-01
   2.4315E+00  -1.3096E-01
   2.4315E+00  -1.2780E-01
   2.4315E+00  -1.2780E-01
   2.4315E+00  -1.2780E-01
   2.4315E+00  -1.2780E-01
   2.4315E+00  -1.2780E-01
   2.4315E+00  -1.2780E-01
   2.4315E+00  -1.2851E-01
   2.4316E+00  -1.2971E-01
   2.4316E+00  -1.3051E-01
   2.4317E+00  -1.3098E-01
   2.4318E+00  -1.3110E-01
   2.4320E+00  -1.3116E-01
   2.4324E+00  -1.3112E-01
   2.4326E+00  -1.3112E-01
   2.4330E+00  -1.3109E-01
   2.4333E+00  -1.3111E-01
   2.4338E+00  -1.3109E-01
   2.4341E+00  -1.3111E-01
   2.4346E+00  -1.3110E-01
   2.4349E+00  -1.3112E-01
   2.4352E+00  -1.3111E-01
   2.4355E+00  -1.3115E-01
   2.4358E+00  -1.3112E-01
   2.4362E+00  -1.3115E-01
   2.4365E+00  -1.3111E-01
   2.4369E+00  -1.3113E-01
   2.4377E+00  -1.3151E-01
   2.4377E+00  -1.3096E-01
   2.4377E+00  -1.2775E-01
   2.4377E+00  -1.2775E-01
   2.4377E+00  -1.2775E-01
   2.4377E+00  -1.2775E-01
   2.4377E+00  -1.2774E-01
   2.4378E+00  -1.2774E-01
   2.4378E+00  -1.2774E-01
   2.4378E+00  -1.2773E-01
   2.4379E+00  -1.2824E-01
   2.4380E+00  -1.2960E-01
   2.4381E+00  -1.3045E-01
   2.4384E+00  -1.3087E-01
   2.4390E+00  -1.3093E-01
   2.4399E+00  -1.3093E-01
   2.4410E+00  -1.3084E-01
   2.4429E+00  -1.3081E-01
   2.4462E+00  -1.3076E-01
   2.4510E+00  -1.3071E-01
   2.4585E+00  -1.3038E-01
   2.4660E+00  -1.3077E-01
   2.4701E+00  -1.3160E-01
   2.4701E+00  -1.3264E-01
   2.4701E+00  -2.2816E-01
   2.4701E+00  -2.2818E-01
   2.4701E+00  -2.2819E-01
   2.4701E+00  -2.2821E-01
   2.4701E+00  -2.2822E-01
   2.4701E+00  -2.2824E-01
   2.4701E+00  -2.2827E-01
   2.4701E+00  -2.2829E-01
   2.4701E+00  -2.2833E-01
   2.4701E+00  -2.2836E-01
   2.4701E+00  -2.2841E-01
   2.4701E+00  -2.2847E-01
   2.4701E+00  -2.2853E-01
   2.4701E+00  -2.2856E-01
   2.4701E+00  -2.2860E-01
