# Trace from filein = ./62270n01                                                                                                                   
#   time        POHT                                                                                                                         
   2.3988E+00   1.9803E-01
   2.3988E+00   1.9802E-01
   2.3988E+00   1.9802E-01
   2.3988E+00   1.9800E-01
   2.3989E+00   1.9800E-01
   2.3989E+00   1.9800E-01
   2.3989E+00   1.9801E-01
   2.3989E+00   1.9801E-01
   2.3989E+00   1.9801E-01
   2.3989E+00   1.9800E-01
   2.3989E+00   1.9800E-01
   2.3990E+00   1.9799E-01
   2.3990E+00   1.9800E-01
   2.3990E+00   1.9800E-01
   2.3991E+00   1.9801E-01
   2.3991E+00   1.9801E-01
   2.3991E+00   1.9801E-01
   2.3991E+00   1.9801E-01
   2.3991E+00   1.9801E-01
   2.3991E+00   1.9800E-01
   2.3991E+00   1.9800E-01
   2.3991E+00   1.9799E-01
   2.3991E+00   1.9799E-01
   2.3991E+00   1.9800E-01
   2.3991E+00   1.9799E-01
   2.3991E+00   1.9798E-01
   2.3991E+00   1.9798E-01
   2.3992E+00   1.9798E-01
   2.3992E+00   1.9798E-01
   2.3993E+00   1.9798E-01
   2.3993E+00   1.9798E-01
   2.3994E+00   1.9798E-01
   2.3994E+00   1.9797E-01
   2.3994E+00   1.9797E-01
   2.3994E+00   1.9796E-01
   2.3994E+00   1.9795E-01
   2.3994E+00   1.9795E-01
   2.3994E+00   1.9795E-01
   2.3994E+00   1.9795E-01
   2.3994E+00   1.9794E-01
   2.3994E+00   1.9794E-01
   2.3994E+00   1.9794E-01
   2.3994E+00   1.9793E-01
   2.3994E+00   1.9793E-01
   2.3994E+00   1.9793E-01
   2.3994E+00   1.9793E-01
   2.3995E+00   1.9793E-01
   2.3995E+00   1.9791E-01
   2.3995E+00   1.9791E-01
   2.3995E+00   1.9789E-01
   2.3995E+00   1.9789E-01
   2.3996E+00   1.9789E-01
   2.3996E+00   1.9789E-01
   2.3996E+00   1.9788E-01
   2.3997E+00   1.9787E-01
   2.3997E+00   1.9787E-01
   2.3997E+00   1.9786E-01
   2.3997E+00   1.9786E-01
   2.3998E+00   1.9785E-01
   2.3999E+00   1.9784E-01
   2.4000E+00   1.9783E-01
   2.4003E+00   1.9781E-01
   2.4008E+00   1.9772E-01
   2.4011E+00   1.9765E-01
   2.4016E+00   1.9763E-01
   2.4019E+00   1.9763E-01
   2.4024E+00   1.9763E-01
   2.4027E+00   1.9763E-01
   2.4032E+00   1.9762E-01
   2.4035E+00   1.9759E-01
   2.4038E+00   1.9757E-01
   2.4041E+00   1.9755E-01
   2.4044E+00   1.9751E-01
   2.4048E+00   1.9748E-01
   2.4051E+00   1.9744E-01
   2.4056E+00   1.9740E-01
   2.4059E+00   1.9736E-01
   2.4065E+00   1.9732E-01
   2.4065E+00   1.9728E-01
   2.4065E+00   1.9728E-01
   2.4065E+00   1.9728E-01
   2.4065E+00   1.9728E-01
   2.4065E+00   1.9727E-01
   2.4065E+00   1.9726E-01
   2.4065E+00   1.9724E-01
   2.4066E+00   1.9721E-01
   2.4066E+00   1.9718E-01
   2.4067E+00   1.9716E-01
   2.4069E+00   1.9715E-01
   2.4071E+00   1.9714E-01
   2.4076E+00   1.9713E-01
   2.4078E+00   1.9712E-01
   2.4083E+00   1.9711E-01
   2.4087E+00   1.9708E-01
   2.4092E+00   1.9706E-01
   2.4096E+00   1.9703E-01
   2.4099E+00   1.9702E-01
   2.4103E+00   1.9700E-01
   2.4105E+00   1.9699E-01
   2.4109E+00   1.9697E-01
   2.4112E+00   1.9696E-01
   2.4117E+00   1.9693E-01
   2.4121E+00   1.9692E-01
   2.4126E+00   1.9690E-01
   2.4130E+00   1.9689E-01
   2.4132E+00   1.9685E-01
   2.4134E+00   1.9684E-01
   2.4139E+00   1.9681E-01
   2.4141E+00   1.9680E-01
   2.4145E+00   1.9678E-01
   2.4147E+00   1.9677E-01
   2.4151E+00   1.9675E-01
   2.4156E+00   1.9672E-01
   2.4160E+00   1.9669E-01
   2.4162E+00   1.9667E-01
   2.4167E+00   1.9664E-01
   2.4169E+00   1.9661E-01
   2.4174E+00   1.9658E-01
   2.4176E+00   1.9656E-01
   2.4181E+00   1.9653E-01
   2.4184E+00   1.9651E-01
   2.4189E+00   1.9649E-01
   2.4192E+00   1.9647E-01
   2.4197E+00   1.9644E-01
   2.4198E+00   1.9642E-01
   2.4198E+00   1.9643E-01
   2.4198E+00   1.9643E-01
   2.4199E+00   1.9642E-01
   2.4199E+00   1.9641E-01
   2.4200E+00   1.9640E-01
   2.4201E+00   1.9639E-01
   2.4203E+00   1.9637E-01
   2.4206E+00   1.9637E-01
   2.4211E+00   1.9636E-01
   2.4220E+00   1.9634E-01
   2.4220E+00   1.9630E-01
   2.4220E+00   1.9630E-01
   2.4220E+00   1.9630E-01
   2.4220E+00   1.9630E-01
   2.4220E+00   1.9630E-01
   2.4220E+00   1.9630E-01
   2.4221E+00   1.9629E-01
   2.4221E+00   1.9628E-01
   2.4221E+00   1.9626E-01
   2.4221E+00   1.9624E-01
   2.4221E+00   1.9622E-01
   2.4222E+00   1.9621E-01
   2.4223E+00   1.9620E-01
   2.4226E+00   1.9620E-01
   2.4230E+00   1.9619E-01
   2.4232E+00   1.9618E-01
   2.4237E+00   1.9617E-01
