 53212  jet 1                  ;-SHOT #- IDENTIFICATION
 UNKNOWN                       ;-SHOT DATE-
 0                             ;-NUMBER OF ASSOCIATED SCALAR QUANTITIES-
                     SECONDS   ;-INDEPENDENT VARIABLE LABEL-
 AMIN                m         ;-DEPENDENT VARIABLE LABEL-
 0                             ;-STATUS FLAG
        521                    ;-# OF PTS-  X, F(X) DATA FOLLOW:
  9.088427E-01 9.080933E-01 9.073437E-01 9.066477E-01 9.061590E-01 9.060656E-01
  9.067273E-01 9.081067E-01 9.100187E-01 9.120530E-01 9.140957E-01 9.161437E-01
  9.181910E-01 9.201683E-01 9.218884E-01 9.231517E-01 9.235926E-01 9.232783E-01
  9.224113E-01 9.214253E-01 9.204413E-01 9.194583E-01 9.184733E-01 9.175250E-01
  9.167273E-01 9.161893E-01 9.160936E-01 9.163893E-01 9.169693E-01 9.176123E-01
  9.182556E-01 9.188997E-01 9.195440E-01 9.201500E-01 9.206049E-01 9.208110E-01
  9.206140E-01 9.200720E-01 9.192830E-01 9.184403E-01 9.175980E-01 9.167563E-01
  9.159140E-01 9.150987E-01 9.143906E-01 9.138557E-01 9.135867E-01 9.135370E-01
  9.136423E-01 9.137796E-01 9.139163E-01 9.140519E-01 9.141893E-01 9.143270E-01
  9.144550E-01 9.145730E-01 9.146680E-01 9.147500E-01 9.148190E-01 9.148873E-01
  9.149546E-01 9.150209E-01 9.150869E-01 9.151533E-01 9.151660E-01 9.151250E-01
  9.149676E-01 9.147483E-01 9.144666E-01 9.141850E-01 9.139029E-01 9.136209E-01
  9.133393E-01 9.130576E-01 9.127949E-01 9.125510E-01 9.123453E-01 9.121590E-01
  9.119917E-01 9.118243E-01 9.116570E-01 9.114900E-01 9.113230E-01 9.111560E-01
  9.110237E-01 9.109263E-01 9.108950E-01 9.108950E-01 9.109260E-01 9.109570E-01
  9.109880E-01 9.110190E-01 9.110500E-01 9.110807E-01 9.110493E-01 9.109560E-01
  9.107523E-01 9.104990E-01 9.101956E-01 9.098910E-01 9.095863E-01 9.092823E-01
  9.089790E-01 9.086760E-01 9.083396E-01 9.079697E-01 9.075433E-01 9.070936E-01
  9.066210E-01 9.061480E-01 9.056750E-01 9.052020E-01 9.047290E-01 9.042560E-01
  9.038350E-01 9.034660E-01 9.031800E-01 9.029254E-01 9.027020E-01 9.024790E-01
  9.022560E-01 9.020330E-01 9.018100E-01 9.015869E-01 9.013753E-01 9.011750E-01
  9.009923E-01 9.008163E-01 9.006473E-01 9.004793E-01 9.003127E-01 9.001470E-01
  8.999827E-01 8.998176E-01 8.997077E-01 8.996516E-01 8.996750E-01 8.997220E-01
  8.997933E-01 8.998650E-01 8.999373E-01 9.000100E-01 9.000830E-01 9.001563E-01
  8.999583E-01 8.994887E-01 8.986413E-01 8.976877E-01 8.966280E-01 8.955680E-01
  8.945083E-01 8.934487E-01 8.923890E-01 8.913290E-01 8.906019E-01 8.902083E-01
